model,accuracy,precision,recall,f1,roc_auc,pr_auc,imbalance_strategy
logreg,0.6941246232149034,0.1638655462184874,0.4452054794520548,0.23955773955773957,0.6234850629748352,0.19113337953522436,class_weight
rf,0.7829717843553886,0.11982044198895028,0.15844748858447488,0.13645300825796303,0.5356439919813637,0.12048710761054818,class_weight
xgb,0.6714433957602411,0.14773265918786538,0.4269406392694064,0.2195093320812302,0.58729407207411,0.1666171481877327,class_weight
