model,strategy,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std
logreg,none,0.19183248058607336,0.00875666003696274,0.6251279272971985,0.00505564430490942,0.030178469925033195,0.0070377758023601215,0.015599743226834342,0.0036934516915272326,0.47000000000000003,0.054910426613433226
logreg,class_weight,0.1918343635952637,0.009037360093331273,0.6267954686506637,0.005755723306381991,0.24875075827767015,0.005575387131639893,0.4580583998319909,0.009956678829053513,0.17073778205314624,0.003940591840224661
logreg,smote,0.18808797584477116,0.008711615932908305,0.6166737007541799,0.005155281506502668,0.24261510512255544,0.004246301717577853,0.5208928638358555,0.011185129376836798,0.15814152172749898,0.0027528202200181174
rf,none,0.14400714520495106,0.0032353538183392517,0.5722713474685394,0.004374409799015211,0.06672776305258407,0.004546870299691914,0.04025270382262424,0.002630706622361577,0.19515935624129865,0.016938282759985546
rf,class_weight,0.12706325213873285,0.002589535780367419,0.542919019585411,0.004877060399253468,0.1394878313252507,0.007025112977892104,0.15435737993801987,0.009380607619950219,0.12729123364747613,0.0057604472194319935
rf,smote,0.13425778040382577,0.0022865009371939096,0.5587342245784397,0.003221303192411039,0.13108692948856898,0.009680903022368702,0.12086698424200455,0.011645426111986901,0.14345348498504257,0.007858675995040063
xgb,none,0.16642025012135533,0.0032703204456572274,0.5958655227188158,0.0031191029124658662,0.04454235906984276,0.0010896425513760954,0.02388989928375993,0.0006307199155057196,0.33120520149511573,0.02652690924770007
xgb,class_weight,0.15880344693760132,0.0024561161790831077,0.5769207273563157,0.006977885657526587,0.22001693702417055,0.0019495206182663957,0.42205583923953255,0.0076933101211919454,0.1488132026948271,0.0017542318685457015
xgb,smote,0.14281583724544683,0.0013433954913203232,0.5627615130162994,0.004298014903749027,0.10288829782562185,0.0029541111665963866,0.07461443867160936,0.004499027872090152,0.16730966322998708,0.010826669282099792
